LETTER,LETTER SOUND AND PHONETIC PRONOUNCIATION,IGBO WORD WITH WORD USAGE,ENGLISH TRANSLATION OF IGBO WORD,SENTENCE IN ENGLISH,SENTENCE IN IGBO,IMPORTANT NOTES,vowels,consonants,diagraphs,triagraph,whistling diagraph,Primary vowel,dot on short vowel,grave on vowel ,acute on vowel,long vowel
g,garment,ágá/ ágịgá/ ntụtụ,needle,Needles are used to sew garments!,"Ágigá k'ẹjì à kwá ákwà!
Ágá b ụ cì à kwá ákwà!
Ágá k'ẹjì à kwá ákwà!","garment/cloth : ékwà/ékpà/úwe/èfe/èhè.
Ka e ji - (keeji) - k'eji",0,1,0,0,0,0,0,0,0,0
gb,"gboò ""try saying g with closed lips like you would for b""",gbaje,run,I am running to the Igbò lesson.,"M l'agbaga nga nkuz ị Igbò.
Á n'm agbaje nk' nk'z lgbò.
Á nà'm agbaje ébé nkuz ị lgbò.","place
ébé/ebi/nk//ibé
here (this place)
ébé'a/nk'nwa/no'owa/nká/ika'a/nga'a",0,0,1,0,0,0,0,0,0,0
gh,"gh ""pretend you are breathing out through your mouth""",ghọo,pluck,Pluck a banana,"Ghọrọ unere.
Ghọta unene.
Ghọlụ unene","Important variations
understand - ghota/ghota
banana : unene/unere/unele",0,0,1,0,0,0,0,0,0,0
gw,gwen,gwa,tell,Go and tell Gwen that it is time to play.,"Jee gwa Gwen l'oruola ógè egwurdegwú.
Jee gwa Gwen n'olruwo ógè igwuliégwú.
Jee gwa Gwen n'olugo ógè igwuliégwú.","egwù : fear. Gba is ""tell"" in some dialects and ""run"" in most.",0,0,1,0,0,0,0,0,0,0
h,hat,uhie,paint,I am painting my hat.,"M teg(a/e) uhie l'òkpú'm.
Á n'm et uhi ệ n'òkp ử m.
Á nà'm et uhi ẹ n'òkp ứ m.","Á nà'm - I am. À nà'm - am I? Á naa'm - I don't, I won't.
painting (applying paint)
tega/tege/ete uhie",0,1,0,0,0,0,0,0,0,0
í,creep,íjíjí,fly,Bee and Fly are creeping on the grass.,"Nkpụruanu la ljiji l'ègbe l'áhíhiá
Akpúlụaghụ n' l j i nègbe n'átifiá..
Akpúluany na ljiji n'ègbe n'áfífiá.","Important information
In literature the igbò word for Bee is often shortened to any",1,0,0,0,0,1,0,0,1,0
ii,see,isii/ishii,six,I can see six bottles.,"M l'a h ụ karama isii.
Á n'm a wh ụ olrom ishii.
N n'a fụ karama isii.",,1,0,1,0,0,1,0,0,0,1
ị,ink,ìgbà ,drum,Worm! Did you spill ink on the drum?,"Idide! ! wury uhieédémédé n'ìgbà?
Idide! ! wụl uhieédémédé n'ìgbà?
Idide! ! wulu uhieédémédé n'ìgbà?","Worm
irigiri/okpoo/arikwa/erikwe",1,0,0,0,0,1,1,0,0,0
ịị,silver mirror,diri/djili/doolr,left to,Odii took the silver mirror left t o me.,"Odii weery ugègbè olaocha dirị m.
Odi weel ugègbè plaocha doolr m.
Ọdịị weelụ ugègbè ọlaọcha dịilị m.",,1,0,1,0,0,1,1,0,0,1
j,japan,jé/ga,go,Where are you going? We are going to Japan.,"Olee nga únù gaje? Ányị l'ejé Japan.
Ndee ibé únù jeko? Áy ị n'ejé Japan.
Únù e jeko ebee? Ányị n'ejé Japan.","You are going where?
I jeko nkoo? ! jeko ebee? (jekeebee)
What place are you going?
Olee ebi unu gaje? Ndee nk' unu jeko? Kedụ ebe unu n'aga?
Where are you going to?
Ebee ka unu n'eje/gaje/n'aga? Ebee b ụ unu jeko/n'eje/n'ega?",0,1,0,0,0,0,0,0,0,0
k,king,Okońṭa/Okońta,king,Okonta is a king,"Okonta wụ éze.
Okonta bụ ézè
Okonta b ụ ézè.","teeth
Ihe a b ụ éze! ézé n'egbu'm!",0,1,0,0,0,0,0,0,0,0
kp,"kp ""try saying k with closed lips like you would for p""",kpakpando,star,Ikpa is calling Azuka to come and see a star.,"Ikpa kpọ ga Azúkà kọ bia húr kpakpando.
Ikpa n'ek' Azykà kọ bia whúlrị kpakpando.
Ikpa n'akpọ Azúkà k'ọ bia fúl ý kpakpando.","kaọ - k o
The gbò name Azuuka is erroneously written as Azuka.",0,0,1,0,0,0,0,0,0,0
kw,quill,kwụ,stand/standing/stood,Okwy is standing on the quill.,"Okwy kwu l'elu abubaédémédé.
Okwy kwu n'en' abubaédémédé.
Okwy kwu n'enu abubaédémédé.",,0,0,1,0,0,0,0,0,0,0
l,lizard,ligó/rigó/rigó,climb/climbing,Look! Lizard is climbing the tree.,"Lee! Ngwére l'arigó úkwù ósísí.
Nee! Ngwerè n'aligó úkwù óshishi.
Nee! Ngwéle n'aligó úkwù ósísi.",úkwú - large,0,1,0,0,0,0,0,0,0,0
m,me,mụ,me,"It's me, Mma's mummy","Ọ w ụ m ụ, ine Mma.
Ọ o m', ne Mma.
Ọọ m ụ, nne Nma.",Me : Mụ nwa / M'/ Ami,0,1,0,0,0,0,0,0,0,0
ḿ,jump,ḿmiri/mili,water,Frog! Did you see Antelope jump over the water?,"Mbará! I huru mgbe Mgbadà wuferu mmiri?
Mbará! ! whulr mgb' Mgbadà w ụ hel mili?
Mbalá! I ful mgbe Mgbadá wufeely nmili?","The phoneme m always precedes a consonant.
Mgbada/Ene/Ochà
are three different species of Antelope ""african deer"" found in igbò Land.",0,1,0,0,0,0,0,0,0,0
n,nest,ńnanu/ńn'n,bird,What i s used t o weave the nest of birds?,"Olee ihe ẹ jí á kpà àkwu nnụnu?
Qgn b ụ ẹ jiá kpà àkwụ nn n?
Ogin k ẹ jí á kpà àkwù nnụnụ?","ákwụ - palm fruit.
To weave -á kpà / Weaving - ákpà",0,1,0,0,0,0,0,0,0,0
ń,song,ท ท น ท น / i n ' ,bird,Bird is singing a song.,"Nụnụ l'àgụ égwú.
Ngn n'àg' égwú.
Nụnụ n'àgụ gwú.","The phoneme i always
precedes a consonant",0,1,0,0,0,0,0,0,0,0
ṅ,"gnaw, ngh (nasal)",ṅụọ,drink,"Don't gnaw at the cup, drink from it.","A tá z ị la iko, n ụ o ihe d ị l'ime ya.
A taa na iko, ghụo ihe d ' n'imee ye.
A tá z ị na iko, nuo ife dị n'imii e.","dị/ri/d'
Ata-zi-na - stop chewing (bring forth not, chewing)!",0,1,0,0,0,0,0,0,0,0
nw,"nw ""make a nasal w sound""",nwoke/ nwoko,male/ boy/ man,Nwosu is a young boy.,"Nwosu wụ nwátà nwoko.
Nwosu bụ wátà nwoke.
Nwosu b ụ nwátà nwoke.",Nwoké / nwókè are accent variations of nwoke.,0,0,1,0,0,0,0,0,0,0
ny,"canyon ""make a nasal y sound""",nye'm/ye'm,Give me,Who will give me the drink? Please!,"Onye g'i nye'm mmanyi? Biko!
Oye k'e ye'm maya? Biko!
Onye g'e nye'm mmanya? Biko!","ga e nye mụ - g'e nye'm.
In Igbò literature m appears as a suffix e.g
my own - mine: nke mụ - nke'm - nkem.",0,0,1,0,0,0,0,0,0,0
o,hope,oloma/oroma/olome/olrome,orange,I hope for a big orange.,"M chékwubere nnúkwú oroma.
E chékwubelr'm nnúkwú olrome.
E chékwùbelụ'm nnekwú oloma.",,1,0,0,0,0,1,0,0,0,0
oo,"olden ""stretched o sound""",gboo,olden,The house by the coast was built in the olden days.,"Á rụru l o ahụ dị na ikpèremmiri mgbè gboo.
Á Irụlr uyọ ọ 'm d n'ikpèlrèmili mgb' gboo.
Á lụlụ n o afụ d ị na ikpelenmili mgbè gboo.",,1,0,1,0,0,1,0,0,0,1
ọ,auto,ụgbọ àlà/an'/ànà/ànì,car,Auto i s another name for car.,"Auto w ụ áhà ọ zò a n'akp ọ ugb ọ àlà.
Auto bụ áhà ọzò a n'ẹk ụgbọan"".
Auto bụ áfà ọzò a n'akpọ ụgbọànà",ózó - traditional title.,1,0,0,0,0,1,1,0,0,0
ọọ,"aurora, or",kpọo,call,"""Please call Aurora for me."" ""She is at work.""","""Biko kpọ o rọ'm Aurora."" "" Ọ n ọ n'ụloorụ.""
""Biko kpọọ lụ 'm Aurora."" ""Ọ nọ n'ungoli""
""Biko kpọọ lụ'm Aurora."" ""Ọ n ọ n'ụngolụ.""","""n"" and ""l"" are very often interchanged
na/la : 1ọ /nọ",1,0,1,0,0,1,1,0,0,1
p,papa,P ị a,fold,My papa is folding the clothes,"N a m l'apịá ákwà.
N a m napịá ákwà.
Nna mụ n'apịá ákwà.",,0,1,0,0,0,0,0,0,0,0
pf,"pf ""ry saying f with closed lips like you would for p""",áp fịá/áhịá/áfịá/áviá/ébvia/ashua ,market,I am at the market,"Á nợ'm n'áhịá.
Á nọ m n'ápfịá.
Á nợ m n'áfịa.",,0,0,1,0,1,0,0,0,0,0
r,rat,ngwere/ngwéle/ngwere,lizard,"Rat and Lizard are eating, let's leave them","Òké la Ngwere l'erinri, k'any hapụ ha.
Òké n' Ngwere n'elrinri, k'ayi habụo ha.
Òké na Ngwele n'elinni, k'anyi rapụ fa.","The Igbò word for rat is okerekwu. It is often shortened to oke.
Leave : hapu/rap/hafu/haf'/habvy
let us - let's
ka anyị - k'anyị",0,1,0,0,0,0,0,0,0,0
lr,"lr ""try saying r with your tongue at the roof of your mouth""",nirọ/nrọ/nlọ,dream,I dreamt that Snail was climbing a mushroom,"Á rọrọm nr ọ ka Njuna n'arị eru.
Á Irol'm n r ọ k' Ejine n'alrị elru.
Á lolự'm nlọ ka Eju(na) n'ali ero",Snail : ejule/njuna/ejine/eju/ejuna,0,0,1,0,0,0,0,0,0,0
s,see,o s a,squirrel,Can this squirrel see?,"Ọ sa nke a à n'ahụ ụzọ?
Osa n(wa) à n'awhụ uzo?
Ọsa'a nụ nwa à n'afụ ụzo?",See: h ụ whụ/fụ/wụ,0,1,0,0,0,0,0,0,0,0
sh,shoe,i s h a,Krillfish,This shoe smells like krillfish.,"Ákpụkpụuk wự a neshị ka isha.
Akpuk wwnwa) neshi kisha.
Ákpụụ k w ự a n'ẹsi ka isha.","Krillfish is mostly, erroneously called
Crayfish in Nigeria.
ákpukpo ukwụ pronounced ákpukpụ ukwụ",0,0,1,0,0,0,0,0,0,0
t,touch,ntị /nti/ntgi/nch,car,Touch your ear.,"Metụ ntgi gi.
Mẹt' ntị ghụ.
Metụ ntị gị.",,0,1,0,0,0,0,0,0,0,0
ṭ,"dt ""attempt hissing and saying d with tongue behind teeth""",nkita/nchita/nkuta/nk'ta/ngta/ezheta/ekite ,dog,"Dog has got a pot, in the middle of the road.","Nkịta jì ite n o r n' etịtị uzo.
Nkita gi t e nghrụ netị t uzo.
Nkịta gì ìte noụ n'etịtị ụzọ.",,0,1,0,0,0,0,1,0,0,0
ṭg,"ṭg ""attempt saying t whilst make a gulping sound""",ntgụ/ntụ/ntụ,nail,I have found my box of nails,"Á h ụ la'm igbé ntg ự m.
Aa whụ wo'm akpatị ntụ m.
Á f ụ go'm akpatị nt ự m.","I have seen - a fụgo mụ.
I have found - a chotago mụ.",0,0,1,0,0,0,0,0,0,0
th,think,,,,,,0,1,1,0,0,0,1,0,0,0
u,true,Ugbo/Ubi,farm,Is it true that there i s a farm at the school?,"Ọ o éciokwu l'enwére ugbo l'uloakwukwọ?
Do z ' okwu n'ewély ugbo n'unoakwukwo?
Ooéziokwu n'enwel ubi n'unoakwukwo?",true : néne/ne,1,0,0,0,0,1,0,0,0,0
uu,canoe,u k w u u,plenty/ a lot,"""I am having fun! A lot, on this canoe.""","M n'enwe anuri! Nga ukwuu, l'ugboàmalà' a.
Á n'm ewe aghulị! Nk' úkwú n'ugboàmalà'n(wa).
Á na'm enwe anulị! Nke ukwuu, n'ugboàmalà'a.",,1,0,1,0,0,1,0,0,0,1
ụ,dual,usu,bat,"A bat is on the car, playing a guitar in a farm.","Ụsụ lọ l'ẹlu ụgbọàlà, àkpọ ụbọ l'ugbo.
Ụ s ụ n ọ nẹn ụgbọan, àkpọ ụbọ n'ugbo.
Ụsụ nọ n'ẹnu ụgbọnà, àkpọ ụbọ n'ubi.",,1,0,0,0,0,1,1,0,0,0
ụụ,"act-u-ally, bilingual",agụụ,hunger,I am actually hungry.,"Aguụ l'agụkwanụ m.
Agụu n a g kwan m.
Agụu n'agụkwanụ'm",,1,0,1,0,0,1,1,0,0,1
v,vulture,mvó/mbó,comb,What do you think Vulture will do with a comb?,"Olee ihe i roro la Udele g'jì mvó/mbó mé?
Ndee ihe i Iror n' Udene k'ejì mvo eme?
Kedu ive/ife i lolu na Udene g'ejì mbó mé?",,0,1,0,0,0,0,0,0,0,0
bv,ibvu,ibvú/ibv'/ibú/ív,load,Where is the horse taking the load to?,"Olee nga inyinya bu íbú àga?
Ndị ibve inyinya bvu ibr' ¿ga""
Kedụ ébvé inginga bvu íbvú àga?",,0,1,1,0,0,0,0,0,0,0
w,world,Uwa,world,Where is Igbò Land in the world?,"Olee nga àlà Igbò r ị l'uwa?
Ndee nk' an' Ìgbò dn'uwa?
Kéd ụ ébé ànà igbò dị n'uwa?","where/what/how
kedụ/ndee/ndji/ndaa/olee",0,1,0,0,0,0,0,0,0,0
wh,where,éwhà/áhà/áfà/éhà/éfà/ávà/áwà/ébvà,name,Where is my name on this list?,"Olee nga áhà'm dị nahịrị a?
Ndịi ibé éwhàm d'nahiri n(wa)?
Èbee ka áfà'm dị n'ahiri a?","bè - peer.
Most Igbò names are phrases that are written as compound words.
For instance Afamefuna, Ekwutosina, Chidiebube.
Note the difference between the name written above, and the statement beion
Chi dị ebube.",0,11,1,0,0,0,0,0,0,0
y,eye,"ányá/áyá/ényá, agụiyi","eye, crocodile",This is a crocodiles eye.,"The a w ụ ányá aguiyi.
The n(wa) bụ áyá aguivi.
Ife nụ nwa bụ ányá aguiyi.","ihe/ife/ive/ibve/iwe
ihe a - ihe'a
ife'a nụ nwa! Ife'e nu nwa.",0,1,0,0,0,0,0,0,0,0
z,zac,ázụ,fish,The name of my fish is Zac.,"Áhà ázự 'm w ụ Zac.
Áhà áz'm b ụ Zac.
Áfà áz ự 'm b ụ Zac.","ázú/àzú- back
""th"" usually replaces ""g"" ""sh"" ""ch"" ""z"" in some dialects
back - àth' / fish - á t h '",0,1,0,0,0,0,0,0,0,0
zh,pleasure,ézhi/ézi/éz',pig,Pig sent me to ask what genre of book you like!,"Ézhi zhiri'm gaa j ụ a údú akwukwo n'amasi gi!
Échi zhi'm je juta udú akwukwo n'a d' gh ụ mma!
Ezi zili'm je juta údi akwukw ọ n'a dị gi nma!",,0,1,1,0,0,0,0,0,0,0
